date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio
2025-09-18,8507.03,23,44,76,195,59.7,62.9,171.5
2025-09-19,8616.59,15,43,87,140,83.1,70.5,175.4
2025-09-22,8762.0,16,52,86,189,83.9,72.1,177.1
2025-09-23,8745.63,12,26,81,111,48.8,53.3,168.8
2025-09-24,8717.25,16,47,89,136,56.3,55.6,168.1
2025-09-25,8728.54,16,28,81,148,56.1,59.0,170.1
2025-09-26,8791.74,22,58,98,204,69.1,65.0,172.6
2025-09-29,8889.06,23,33,89,133,79.6,70.9,174.3
2025-09-30,8982.96,25,65,126,232,69.3,66.2,174.0
2025-10-01,9035.04,15,26,63,148,71.9,66.6,172.2
2025-10-02,8990.21,20,51,86,195,47.1,53.5,167.2
2025-10-03,9057.5,31,59,127,171,73.4,68.0,172.5
2025-10-06,9092.58,13,32,47,96,58.3,62.2,171.4
2025-10-07,8588.41,667,1425,2305,3562,4.0,9.9,126.0
2025-10-08,8000.0,1125,2384,3833,5946,4.0,8.0,124.0
2025-10-09,8000.0,725,1550,2451,3887,4.0,13.1,126.4
2025-10-10,8000.0,668,1424,2300,3541,4.0,8.0,124.0
2025-10-13,8000.0,800,1703,2735,4313,4.0,8.0,124.0
2025-10-14,8000.0,1022,2182,3473,5405,4.0,8.0,124.0
2025-10-15,8000.0,1124,2418,3859,5986,4.0,8.0,124.0
2025-10-16,8000.0,929,1958,3155,4924,4.0,8.0,124.0
2025-10-17,8000.0,635,1348,2168,3365,4.0,9.9,127.4
2025-10-20,8000.0,1157,2458,3922,6160,4.0,8.0,124.0
2025-10-21,8000.0,605,1296,2101,3314,4.0,18.8,131.9
2025-10-22,8000.0,584,1228,1987,3141,4.0,8.0,127.8
2025-10-23,8199.68,12,29,68,120,87.6,80.3,180.9
2025-10-24,8252.77,16,36,81,146,68.4,64.6,172.5
2025-10-27,8268.63,23,39,104,176,53.5,58.3,170.2
2025-10-28,8342.31,6,26,67,156,76.7,67.5,173.8
2025-10-29,8282.68,33,64,131,219,47.0,53.1,165.8
2025-10-30,8295.52,8,32,103,143,59.9,61.7,170.5
2025-10-31,8371.65,31,66,136,232,69.7,66.1,173.2
2025-11-03,8398.68,30,51,96,225,66.0,59.5,170.6
2025-11-04,8568.21,32,64,138,196,85.4,74.8,178.2
2025-11-05,8532.21,14,48,96,160,50.2,55.5,167.7
2025-11-06,8480.39,23,65,100,243,40.1,54.6,166.6
2025-11-07,8534.85,13,46,79,154,69.7,61.0,172.5
2025-11-10,8648.24,21,44,78,162,69.1,67.6,175.4
2025-11-11,8627.12,6,22,63,141,57.6,55.2,168.7
2025-11-12,8606.17,9,32,81,129,47.5,56.0,168.6
2025-11-13,8712.87,8,43,72,191,82.8,72.1,175.4
2025-11-14,8773.47,27,54,86,198,73.5,62.7,172.4
2025-11-17,8692.88,28,77,131,232,36.9,46.2,165.1
2025-11-18,8635.81,21,67,103,227,45.8,53.1,166.4
2025-11-19,8770.3,22,43,62,186,84.2,74.6,176.4
2025-11-20,8690.41,25,70,131,204,41.7,52.9,165.2
2025-11-21,8590.66,45,84,149,249,32.0,44.2,163.5
2025-11-24,8539.49,11,42,73,162,50.0,55.7,167.0
2025-11-25,8597.21,19,39,108,198,62.3,66.1,172.5
2025-11-26,8549.71,16,44,69,194,47.8,50.2,167.1
2025-11-27,8529.02,14,35,94,144,50.2,57.7,168.5
2025-11-28,8429.78,33,88,171,239,38.2,49.1,163.8
2025-12-01,8395.72,24,46,88,171,52.6,56.1,167.5
2025-12-02,8331.39,26,62,152,271,37.2,50.2,165.8
2025-12-03,8264.18,32,73,165,277,44.8,52.5,165.5
2025-12-04,8134.49,175,382,613,1034,26.6,42.6,157.9
2025-12-05,8175.99,16,33,74,162,67.5,62.3,171.8
2025-12-08,8114.1,30,71,134,240,35.7,48.5,165.7
2025-12-09,8116.8,18,39,94,125,52.8,55.0,169.6
2025-12-10,8150.31,17,36,66,109,66.1,60.3,171.4
2025-12-11,8280.75,16,42,76,162,73.3,74.8,176.7
2025-12-12,8389.15,14,45,93,134,74.4,68.9,175.5
2025-12-15,8336.93,25,74,121,254,41.7,56.1,166.5
2025-12-16,8339.37,21,29,73,129,49.4,55.4,169.5
2025-12-17,8332.93,13,33,85,139,48.0,60.0,169.3
2025-12-18,8338.41,15,36,69,119,53.0,57.1,169.9
2025-12-19,8265.11,45,82,167,289,41.1,53.3,164.8
2025-12-22,8000.0,777,1661,2651,4193,4.0,8.0,124.0
2025-12-23,8000.0,847,1810,2881,4540,4.0,8.0,124.0
2025-12-24,8000.0,660,1394,2230,3544,4.0,8.0,124.0
2025-12-25,8000.0,985,2088,3304,5193,4.0,8.0,124.0
2025-12-26,8000.0,832,1767,2847,4442,4.0,8.0,124.0
2025-12-29,8000.0,481,1014,1644,2557,4.0,14.0,134.9
2025-12-30,8000.0,670,1435,2332,3653,4.0,8.0,126.6
2025-12-31,8000.0,963,2044,3285,5107,4.0,8.0,124.0
2026-01-01,8000.0,447,960,1560,2445,4.0,27.0,140.6
2026-01-02,8000.0,797,1688,2716,4253,4.0,8.0,124.0
2026-01-05,8000.0,750,1598,2556,4056,4.0,11.1,124.0
2026-01-06,8000.0,854,1811,2909,4506,4.0,8.0,124.0
2026-01-07,8000.0,850,1817,2904,4560,4.0,8.0,124.0
2026-01-08,8000.0,833,1762,2831,4415,4.0,8.0,124.0
2026-01-09,8000.0,674,1458,2322,3620,4.0,15.6,129.7
2026-01-12,8000.0,744,1592,2545,4021,4.0,8.0,124.0
2026-01-13,8000.0,562,1172,1905,3014,4.0,13.7,130.6
2026-01-14,8000.0,622,1336,2147,3373,4.0,8.0,126.5
2026-01-15,8000.0,515,1114,1800,2854,4.0,11.0,131.3
2026-01-16,8000.0,726,1535,2484,3884,4.0,8.0,124.0
2026-01-19,8000.0,833,1788,2881,4483,4.0,8.0,124.0
2026-01-20,8000.0,699,1499,2400,3797,4.0,9.3,124.1
2026-01-21,8000.0,378,805,1313,2043,4.0,23.8,143.9
2026-01-22,8000.0,712,1526,2442,3832,4.0,8.0,124.0
2026-01-23,8000.0,996,2128,3390,5308,4.0,8.0,124.0
2026-01-26,8000.0,585,1233,1966,3159,4.0,19.0,132.5
2026-01-27,8035.78,15,54,117,194,60.9,65.4,171.6
2026-01-28,8076.8,30,56,114,223,55.5,63.0,171.4
2026-01-29,8193.71,17,32,62,185,71.9,68.3,176.0
2026-01-30,8157.36,20,56,117,164,47.9,56.6,167.4
2026-02-02,8322.6,11,22,73,125,90.4,74.8,178.8
2026-02-03,8367.97,25,47,86,166,70.6,64.3,171.7
2026-02-04,8292.95,35,76,119,265,48.6,46.4,165.0
2026-02-05,8303.42,28,45,107,214,53.8,62.2,169.8
2026-02-06,8305.38,22,38,78,172,50.3,59.9,169.5
2026-02-09,8356.29,12,34,89,176,60.0,62.4,172.4
2026-02-10,8445.78,11,37,87,136,65.2,70.0,174.5
2026-02-11,8275.16,248,538,908,1383,20.3,36.9,153.8
2026-02-12,8157.68,36,80,146,243,35.5,44.3,162.6
2026-02-13,8000.0,463,988,1612,2496,7.6,32.2,142.3
2026-02-16,8000.0,350,735,1174,1887,4.0,24.6,144.7
2026-02-17,8000.0,397,847,1370,2160,4.0,24.5,142.7
2026-02-18,8000.0,323,669,1112,1770,10.1,33.7,148.0
2026-02-19,8000.0,567,1215,1958,3081,4.0,23.5,135.1
2026-02-20,8000.0,254,531,865,1362,29.1,40.5,154.9
2026-02-23,8000.0,321,686,1140,1802,8.2,32.7,147.8
2026-02-24,8000.0,211,444,750,1155,30.4,43.8,155.7
2026-02-25,8000.0,429,921,1482,2330,4.0,19.4,138.3
2026-02-26,8000.0,356,770,1244,1992,4.0,25.9,145.4
2026-02-27,8000.0,597,1276,2039,3226,4.0,8.0,126.3
2026-03-02,8000.0,459,978,1558,2491,4.0,20.3,139.8
2026-03-03,8000.0,517,1110,1820,2808,4.0,17.6,135.4
2026-03-04,8000.0,238,509,831,1358,31.5,43.9,155.2
2026-03-05,8000.0,514,1114,1800,2824,4.0,21.8,138.8
2026-03-06,8000.0,553,1167,1888,2933,4.0,23.6,137.0
2026-03-09,8000.0,29,70,132,284,37.9,48.9,164.7
2026-03-10,8000.0,679,1444,2334,3676,4.0,9.6,126.8
2026-03-11,8000.0,737,1566,2529,3931,4.0,8.0,124.0
2026-03-12,8000.0,582,1226,1977,3114,4.0,24.4,134.7
2026-03-13,8000.0,518,1086,1758,2744,4.0,13.9,134.7
2026-03-16,8000.0,287,613,1016,1610,16.5,37.0,149.3
2026-03-17,8000.0,696,1486,2383,3748,4.0,8.0,125.3
2026-03-18,8000.0,355,769,1262,1941,5.1,28.9,146.3
2026-03-19,8000.0,555,1169,1860,2981,4.0,24.7,136.8
2026-03-20,8000.0,388,818,1337,2102,4.0,22.5,142.4
2026-03-23,8158.12,13,48,79,175,91.7,78.3,178.5
2026-03-24,8151.51,15,26,76,144,53.0,60.5,169.2
2026-03-25,8128.12,17,34,81,163,43.9,59.4,168.2
2026-03-26,8105.69,14,40,82,165,43.3,56.5,168.4
2026-03-27,8224.42,28,55,100,203,83.4,70.5,175.8
2026-03-30,8207.95,21,37,76,118,49.6,59.2,168.5
2026-03-31,8000.0,599,1297,2050,3283,4.0,8.0,126.2
2026-04-01,8000.0,730,1571,2516,3938,4.0,8.0,124.0
2026-04-02,8000.0,676,1437,2305,3622,4.0,8.0,124.0
2026-04-03,8000.0,403,855,1380,2204,4.0,29.6,142.7
2026-04-06,8000.0,632,1348,2145,3393,4.0,8.0,128.6
2026-04-07,8000.0,659,1397,2265,3519,4.0,12.5,127.2
2026-04-08,8000.0,532,1118,1824,2808,4.0,20.1,134.0
2026-04-09,8000.0,719,1537,2457,3850,4.0,8.0,124.0
2026-04-10,8000.0,640,1348,2196,3449,4.0,9.6,128.1
2026-04-13,8000.0,664,1421,2288,3557,4.0,8.0,126.1
2026-04-14,8000.0,724,1546,2476,3925,4.0,14.7,126.5
2026-04-15,8000.0,606,1306,2113,3287,4.0,9.1,129.2
2026-04-16,8000.0,832,1756,2804,4406,4.0,8.0,124.0
2026-04-17,8000.0,682,1442,2306,3646,4.0,10.8,128.5
2026-04-20,8000.0,860,1817,2924,4557,4.0,8.0,124.0
2026-04-21,8000.0,515,1121,1801,2808,4.0,16.8,135.7
2026-04-22,8000.0,935,2001,3206,5001,4.0,8.0,124.0
2026-04-23,8000.0,958,2030,3245,5087,4.0,8.0,124.0
2026-04-24,8000.0,531,1129,1814,2814,4.0,17.0,134.0
2026-04-27,8000.0,474,992,1592,2555,4.0,17.4,136.6
2026-04-28,8000.0,950,2040,3233,5115,4.0,8.0,124.0
2026-04-29,8000.0,687,1483,2391,3680,4.0,8.0,126.0
2026-04-30,8000.0,953,2052,3262,5116,4.0,8.0,124.0
2026-05-01,8000.0,717,1524,2432,3828,4.0,8.0,124.0
2026-05-04,8000.0,556,1164,1872,2964,4.0,15.6,132.6
2026-05-05,8000.0,857,1826,2902,4604,4.0,8.0,124.0
2026-05-06,8000.0,497,1061,1708,2680,4.0,14.4,133.4
2026-05-07,8000.0,707,1529,2453,3824,4.0,8.0,124.0
2026-05-08,8000.0,23,64,102,172,48.7,54.1,167.1
2026-05-11,8037.42,15,52,118,167,68.9,60.3,171.7
2026-05-12,8057.66,15,23,89,122,58.4,59.4,170.7
2026-05-13,8066.51,21,50,79,226,53.0,58.3,169.9
2026-05-14,8194.07,18,49,115,204,79.4,69.0,176.6
2026-05-15,8293.08,21,32,91,150,68.2,66.2,174.8
2026-05-18,8430.53,11,35,114,203,77.2,69.1,177.1
2026-05-19,8399.21,14,47,77,167,56.0,55.2,167.9
2026-05-20,8438.72,30,59,126,191,68.4,58.5,171.3
2026-05-21,8385.78,15,39,84,196,48.5,54.8,166.7
2026-05-22,8295.08,44,72,160,295,35.0,51.4,163.9
2026-05-25,8281.24,16,24,73,98,48.8,57.6,168.8
2026-05-26,8364.71,24,59,126,216,77.2,66.2,173.8
2026-05-27,8473.0,20,65,124,212,76.3,66.4,175.3
2026-05-28,8531.57,21,47,110,179,72.5,62.3,172.5
2026-05-29,8486.69,31,50,100,181,46.0,50.4,166.7
2026-06-01,8483.22,14,22,57,152,57.2,59.6,169.4
2026-06-02,8549.48,18,26,56,172,68.0,64.7,173.0
2026-06-03,8659.74,19,47,120,165,72.1,67.4,175.3
2026-06-04,8659.02,15,23,44,99,59.3,54.9,169.5
2026-06-05,8747.74,20,43,78,137,65.8,65.5,174.0
2026-06-08,8687.35,22,55,104,183,38.1,51.8,166.3
2026-06-09,8672.81,12,34,49,142,48.0,60.4,168.9
2026-06-10,8803.42,15,39,92,187,83.5,71.9,176.3
2026-06-11,8848.71,28,58,116,206,62.2,60.9,171.5
2026-06-12,8642.74,327,685,1114,1784,13.0,36.3,150.2
2026-06-15,8660.8,19,55,102,185,56.0,56.7,170.4
2026-06-16,8612.3,13,55,85,168,52.8,56.9,167.1
2026-06-17,8608.51,2,12,35,104,49.1,55.8,169.7
2026-06-18,8676.54,18,57,86,196,73.3,64.6,173.0
2026-06-19,8687.74,12,31,61,147,58.7,62.3,170.2
2026-06-22,8643.14,19,40,94,146,48.6,53.6,167.1
2026-06-23,8671.12,4,29,80,157,53.8,62.0,171.3
2026-06-24,8709.21,27,55,91,214,69.1,59.2,171.2
2026-06-25,8701.22,7,18,40,147,52.5,55.1,169.4
2026-06-26,8756.69,19,43,87,187,60.8,60.3,172.3
2026-06-29,8684.72,26,56,141,253,37.4,47.6,165.6
2026-06-30,8626.96,24,56,142,250,48.7,54.4,166.3
2026-07-01,8756.41,7,33,72,133,73.5,75.1,176.6
2026-07-02,8714.3,26,51,92,216,41.0,51.5,167.1
2026-07-03,8674.13,22,49,84,207,52.1,51.0,167.3
2026-07-06,8662.91,13,21,64,168,58.3,55.8,169.0
2026-07-07,8683.79,21,30,72,139,52.7,57.2,170.5
2026-07-08,8686.23,21,49,114,217,48.4,55.9,169.5
2026-07-09,8673.58,4,16,59,106,52.9,57.7,169.2
2026-07-10,8681.14,21,45,96,143,56.5,58.2,169.8
2026-07-13,8732.14,23,38,100,141,57.0,61.3,172.0
2026-07-14,8791.37,15,36,65,124,71.2,64.3,172.6
2026-07-15,8798.52,15,42,71,165,49.4,57.1,169.9
2026-07-16,8849.82,21,47,95,209,63.2,66.3,172.0
2026-07-17,8712.79,169,370,618,1021,33.0,44.4,158.2
2026-07-20,8671.1,21,53,120,152,40.4,56.8,167.2
2026-07-21,8674.55,18,39,74,157,56.9,56.4,169.7
2026-07-22,8656.74,16,41,62,169,51.9,59.6,168.6
2026-07-23,8716.39,11,33,70,191,69.6,65.3,172.8
2026-07-24,8763.26,7,39,68,161,70.4,59.9,172.2
2026-07-27,8898.39,23,59,134,178,73.1,72.0,176.3
2026-07-28,8873.59,14,27,85,150,42.8,56.6,168.3
2026-07-29,8901.92,28,57,109,206,61.4,64.4,170.6
2026-07-30,8882.44,7,33,72,148,56.5,55.7,168.8
2026-07-31,8864.16,16,38,60,152,47.6,56.8,168.6
2026-08-05,8864.16,602,630,662,701,52.5,58.0,166.5
